Date : 2025-06-12 20:04:53
Directory : c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot
Total : 42 files,  3894 codes, 124 comments, 593 blanks, all 4611 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Log          |          2 |      1,326 |          0 |         18 |      1,344 |
| Java         |         24 |      1,184 |         97 |        312 |      1,593 |
| HTML         |          7 |        549 |          4 |         51 |        604 |
| Markdown     |          2 |        391 |          0 |        140 |        531 |
| PostCSS      |          1 |        217 |         11 |         43 |        271 |
| XML          |          2 |        122 |          3 |         11 |        136 |
| Batch        |          1 |         33 |          1 |          6 |         40 |
| JavaScript   |          1 |         29 |          4 |          3 |         36 |
| Shell Script |          1 |         28 |          2 |          6 |         36 |
| Properties   |          1 |         15 |          2 |          3 |         20 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |         42 |      3,894 |        124 |        593 |      4,611 |
| . (Files)                                                                                                                       |          5 |        526 |          3 |        157 |        686 |
| logs                                                                                                                            |          2 |      1,326 |          0 |         18 |      1,344 |
| src                                                                                                                             |         35 |      2,042 |        121 |        418 |      2,581 |
| src\main                                                                                                                        |         32 |      1,830 |         87 |        354 |      2,271 |
| src\main\java                                                                                                                   |         21 |        972 |         63 |        248 |      1,283 |
| src\main\java\com                                                                                                               |         21 |        972 |         63 |        248 |      1,283 |
| src\main\java\com\example                                                                                                       |         21 |        972 |         63 |        248 |      1,283 |
| src\main\java\com\example\crud                                                                                                  |         21 |        972 |         63 |        248 |      1,283 |
| src\main\java\com\example\crud (Files)                                                                                          |          1 |          9 |          0 |          4 |         13 |
| src\main\java\com\example\crud\config                                                                                           |          3 |        142 |          7 |         31 |        180 |
| src\main\java\com\example\crud\controller                                                                                       |          6 |        333 |         20 |         65 |        418 |
| src\main\java\com\example\crud\exception                                                                                        |          1 |         63 |          1 |         14 |         78 |
| src\main\java\com\example\crud\model                                                                                            |          2 |        149 |          5 |         44 |        198 |
| src\main\java\com\example\crud\repository                                                                                       |          2 |         21 |          3 |         12 |         36 |
| src\main\java\com\example\crud\service                                                                                          |          6 |        255 |         27 |         78 |        360 |
| src\main\resources                                                                                                              |         11 |        858 |         24 |        106 |        988 |
| src\main\resources (Files)                                                                                                      |          2 |         63 |          5 |          9 |         77 |
| src\main\resources\static                                                                                                       |          2 |        246 |         15 |         46 |        307 |
| src\main\resources\static\css                                                                                                   |          1 |        217 |         11 |         43 |        271 |
| src\main\resources\static\js                                                                                                    |          1 |         29 |          4 |          3 |         36 |
| src\main\resources\templates                                                                                                    |          7 |        549 |          4 |         51 |        604 |
| src\main\resources\templates (Files)                                                                                            |          2 |        106 |          0 |         16 |        122 |
| src\main\resources\templates\admin                                                                                              |          1 |        175 |          0 |         10 |        185 |
| src\main\resources\templates\products                                                                                           |          2 |        131 |          4 |         13 |        148 |
| src\main\resources\templates\users                                                                                              |          2 |        137 |          0 |         12 |        149 |
| src\test                                                                                                                        |          3 |        212 |         34 |         64 |        310 |
| src\test\java                                                                                                                   |          3 |        212 |         34 |         64 |        310 |
| src\test\java\com                                                                                                               |          3 |        212 |         34 |         64 |        310 |
| src\test\java\com\example                                                                                                       |          3 |        212 |         34 |         64 |        310 |
| src\test\java\com\example\crud                                                                                                  |          3 |        212 |         34 |         64 |        310 |
