Date : 2025-06-12 20:23:57
Directory : c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot
Total : 49 files,  4465 codes, 144 comments, 704 blanks, all 5313 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Java         |         28 |      1,590 |        115 |        402 |      2,107 |
| Log          |          2 |      1,330 |          0 |         18 |      1,348 |
| HTML         |          9 |        686 |          4 |         67 |        757 |
| Markdown     |          2 |        391 |          0 |        140 |        531 |
| PostCSS      |          2 |        241 |         13 |         48 |        302 |
| XML          |          2 |        122 |          3 |         11 |        136 |
| Batch        |          1 |         33 |          1 |          6 |         40 |
| JavaScript   |          1 |         29 |          4 |          3 |         36 |
| Shell Script |          1 |         28 |          2 |          6 |         36 |
| Properties   |          1 |         15 |          2 |          3 |         20 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |         49 |      4,465 |        144 |        704 |      5,313 |
| . (Files)                                                                                                                       |          5 |        526 |          3 |        157 |        686 |
| logs                                                                                                                            |          2 |      1,330 |          0 |         18 |      1,348 |
| src                                                                                                                             |         42 |      2,609 |        141 |        529 |      3,279 |
| src\main                                                                                                                        |         39 |      2,397 |        107 |        465 |      2,969 |
| src\main\java                                                                                                                   |         25 |      1,378 |         81 |        338 |      1,797 |
| src\main\java\com                                                                                                               |         25 |      1,378 |         81 |        338 |      1,797 |
| src\main\java\com\example                                                                                                       |         25 |      1,378 |         81 |        338 |      1,797 |
| src\main\java\com\example\crud                                                                                                  |         25 |      1,378 |         81 |        338 |      1,797 |
| src\main\java\com\example\crud (Files)                                                                                          |          1 |          9 |          0 |          4 |         13 |
| src\main\java\com\example\crud\config                                                                                           |          2 |        125 |          9 |         29 |        163 |
| src\main\java\com\example\crud\controller                                                                                       |          7 |        546 |         24 |        105 |        675 |
| src\main\java\com\example\crud\exception                                                                                        |          1 |         63 |          1 |         14 |         78 |
| src\main\java\com\example\crud\model                                                                                            |          3 |        249 |          8 |         75 |        332 |
| src\main\java\com\example\crud\repository                                                                                       |          3 |         32 |          3 |         16 |         51 |
| src\main\java\com\example\crud\service                                                                                          |          8 |        354 |         36 |         95 |        485 |
| src\main\resources                                                                                                              |         14 |      1,019 |         26 |        127 |      1,172 |
| src\main\resources (Files)                                                                                                      |          2 |         63 |          5 |          9 |         77 |
| src\main\resources\static                                                                                                       |          3 |        270 |         17 |         51 |        338 |
| src\main\resources\static\css                                                                                                   |          2 |        241 |         13 |         48 |        302 |
| src\main\resources\static\js                                                                                                    |          1 |         29 |          4 |          3 |         36 |
| src\main\resources\templates                                                                                                    |          9 |        686 |          4 |         67 |        757 |
| src\main\resources\templates (Files)                                                                                            |          2 |        106 |          0 |         16 |        122 |
| src\main\resources\templates\admin                                                                                              |          1 |        175 |          0 |         10 |        185 |
| src\main\resources\templates\orders                                                                                             |          2 |        134 |          0 |         16 |        150 |
| src\main\resources\templates\products                                                                                           |          2 |        132 |          4 |         13 |        149 |
| src\main\resources\templates\users                                                                                              |          2 |        139 |          0 |         12 |        151 |
| src\test                                                                                                                        |          3 |        212 |         34 |         64 |        310 |
| src\test\java                                                                                                                   |          3 |        212 |         34 |         64 |        310 |
| src\test\java\com                                                                                                               |          3 |        212 |         34 |         64 |        310 |
| src\test\java\com\example                                                                                                       |          3 |        212 |         34 |         64 |        310 |
| src\test\java\com\example\crud                                                                                                  |          3 |        212 |         34 |         64 |        310 |
| src\test\java\com\example\crud (Files)                                                                                          |          1 |          9 |          0 |          4 |         13 |
| src\test\java\com\example\crud\controller                                                                                       |          1 |         90 |         12 |         26 |        128 |
| src\test\java\com\example\crud\service                                                                                          |          1 |        113 |         22 |         34 |        169 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                        | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\API_DOCUMENTATION.md                                                 | Markdown     |        258 |          0 |        104 |        362 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\README.md                                                            | Markdown     |        133 |          0 |         36 |        169 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\logs\application.log                                                 | Log          |      1,032 |          0 |         17 |      1,049 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\logs\database.log                                                    | Log          |        298 |          0 |          1 |        299 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\pom.xml                                                              | XML          |         74 |          0 |          5 |         79 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\run.bat                                                              | Batch        |         33 |          1 |          6 |         40 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\run.sh                                                               | Shell Script |         28 |          2 |          6 |         36 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\CrudApplication.java                  | Java         |          9 |          0 |          4 |         13 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\config\DataInitializer.java           | Java         |         79 |          9 |         22 |        110 |
